UniqueID,Source,RSS feed URLs (where available),Type,Tags,Location,Associated Twitter Handle,Name,Text aliases,Associated Publisher
338,http://972mag.com/,,News Source,Israeli|English|Critical|Current-Affairs,Israel,@972mag,972mag,"""972mag""",972Mag
338,972Mag,,News Source,Israeli|English|Critical|Current-Affairs,Israel,,972mag,,
339,http://mekomit.co.il,,News Source,Israeli|Hebrew|Critical|Current-Affairs,Israel,@mekomit,Sikha Mekomit,"""sikha mekomit""|""Local Call""",972Mag
339,972Mag,,News Source,Israeli|Hebrew|Critical|Current-Affairs,Israel,,Sikha Mekomit,,
340,Arutz 7 - Hebrew,,News Source,Israeli|English|Ultra-Nationalist|Current-Affairs,Israel,,Arutz 7 - English,,
340,http://israelnationalnews.com/,,News Source,Israeli|English|Ultra-Nationalist|Current-Affairs,Israel,@ArutzSheva_En,Arutz 7 - English,"""Arutz 7""|""Israel National News""|""INN""",Arutz 7 - Hebrew
341,Arutz 7 - Hebrew,,News Source,Israeli|Hebrew|Ultra-Nationalist|Current-Affairs,Israel,,Arutz 7 - Hebrew,,
341,http://inn.co.il/,,News Source,Israeli|Hebrew|Ultra-Nationalist|Current-Affairs,Israel,@arutz7heb,Arutz 7 - Hebrew,"""Arutz 7""|""Israel National News""|""INN""",Arutz 7 - Hebrew
342,Ynet - Hebrew,,News Source,Israeli|Hebrew|Financial,Israel,,Calcalist,,
342,http://calcalist.co.il/,,News Source,Israeli|Hebrew|Financial,Israel,@calcalist,Calcalist,"""Calcalist""",Ynet - Hebrew
343,https://www.debka.com/,,News Source,Israeli|English|Hawkish|Security,Israel,@debkafile|@debka_english,Debka File - English,"""Debka File""",Debka File - English
343,Debka File - English,,News Source,Israeli|English|Hawkish|Security,Israel,,Debka File - English,,
344,Debka File - English,,News Source,Israeli|Hebrew|Hawkish|Security,Israel,,Debka File - Hebrew,,
344,http://debka.co.il/,,News Source,Israeli|Hebrew|Hawkish|Security,Israel,@debka_hebrew,Debka File - Hebrew,"""Debka File""",Debka File - English
345,http://globes.co.il/,,News Source,Israeli|Hebrew|Financial,Israel,@globesnews,Globes,"""Globes""",Globes
345,Globes,,News Source,Israeli|Hebrew|Financial,Israel,,Globes,,
346,Globes,,News Source,Israeli|English|Financial,Israel,,Globes - English,,
346,http://en.globes.co.il,,News Source,Israeli|English|Financial,Israel,@GlobesEnglish,Globes - English,"""Globes """,Globes
347,http://haaretz.com/,,News Source,Israeli|English|Left-Liberal|Current-Affairs,Israel,@haaretzcom,Haaretz - Engish,"""Haaretz""|""Ha'aretz""",Haaretz - Hebrew
