UniqueID,Source,RSS feed URLs (where available),Type,Tags,Location,Associated Twitter Handle,Name,Text aliases,Associated Publisher
1,@Marianhouk,,Twitter Handle,Twitter Journalists,Ramallah ,,Marian Houk,"""Marian Houk""",
2,@NTarnopolsky,,Twitter Handle,Twitter Journalists,Jerusalem ,,Noga Tarnopolsky,"""Noga Tarnopolsky""",
3,@ColinKahl ,,Twitter Handle,Twitter Journalists,Washington ,,Colin Kahl ,"""Colin Kahl """,
4,@JGreenblattADL,,Twitter Handle,Twitter Journalists,USA ,,Jonathan Greenblatt,"""Jonathan Greenblatt""",
5,@iramfali,,Twitter Handle,Twitter Journalists,USA ,,Imram Ali,"""Imram Ali""",
6,@FreePalestine,,Twitter Handle,Twitter Journalists,The #FreePalestine Movement,,#FreePalestine,"""#FreePalestine""",
7,@jvplive,,Twitter Handle,Twitter Journalists,USA ,,JewishVoiceForPeace,"""JewishVoiceForPeace""",
8,@braunold,,Twitter Handle,Twitter Journalists,USA ,,Joel Braunold,"""Joel Braunold""",
9,@MollyMcSweyn,,Twitter Handle,Twitter Journalists,USA ,,Molly McSweyn,"""Molly McSweyn""",
10,@stephhausner,,Twitter Handle,Twitter Journalists,USA ,,Stephanie Hausner,"""Stephanie Hausner""",
11,@BurtonJM,,Twitter Handle,Twitter Journalists,USA ,,Jeremy Burton,"""Jeremy Burton""",
12,@AshagerAraro,,Twitter Handle,Twitter Journalists,Israel,,Ashager Araro,"""Ashager Araro""",
13,@Claudia_Kealoha,,Twitter Handle,Twitter Journalists,,,Ekahi Ikaika,"""Ekahi Ikaika""",
14,@Ostrov_A,,Twitter Handle,Twitter Journalists,Israel,,Arsen Ostrovsky,"""Arsen Ostrovsky""",
15,@HillelNeuer,,Twitter Handle,Twitter Journalists,Switzerland,,Hillel Neuer,"""Hillel Neuer""",
16,@michaeldickson,,Twitter Handle,Twitter Journalists,Israel,,Michael Dickson,"""Michael Dickson""",
17,@elderofziyon,,Twitter Handle,Twitter Journalists,USA,,Elder Of Ziyon ,"""Elder Of Ziyon """,
18,@WarpedMirrorPMB,,Twitter Handle,Twitter Journalists,,,Dr. Petra Marquardt-Bigman,"""Dr. Petra Marquardt-Bigman""",
19,@GippersChutzpah,,Twitter Handle,Twitter Journalists,Israel,,(((Emily Schrader))),"""Emily Schrader""",
20,@Jonathan_Elk,,Twitter Handle,Twitter Journalists,Israel,,Jonathan Elkhoury,"""Jonathan Elkhoury""",
21,@3moYahya,,Twitter Handle,Twitter Journalists,Israel,,Yahya Mahamid محاميد,"""Yahya Mahamid""",
22,@Amani90__,,Twitter Handle,Twitter Journalists,,,☆ أماني ☆,,
23,@RedaMansour,,Twitter Handle,Twitter Journalists,Israel,,Reda Mansour,"""Reda Mansour""",
24,@z7654321,,Twitter Handle,Twitter Journalists,,,Zohar Freiberg,"""Zohar Freiberg""",
25,@Amani90__,,Twitter Handle,Twitter Journalists,USA,,Dumisani Washington,"""Dumisani Washington""",
26,@littlebytesnews,,Twitter Handle,Twitter Journalists,USA,,Patty,"""Patty""",
27,@wisdomforwomen,,Twitter Handle,Twitter Journalists,,,@Wisdom for Women,"""@Wisdom for Women""",
28,@RachelSteinmetz,,Twitter Handle,Twitter Journalists,,,(((רחל Steinmetz))),"""Steinmetz""",
29,@IsraelNewsLinks,,Twitter Handle,Twitter Journalists,USA,,Israel News Links,"""Israel News Links""",
30,@BobSeaPort,,Twitter Handle,Twitter Journalists,USA,,Bob,"""Bob""",
31,@Pucemargine,,Twitter Handle,Twitter Journalists,Germany,,Elke Götze,"""Elke Götze""",
32,@genevaaccord,,Twitter Handle,Twitter Journalists,,,Geneva Initiative,"""Geneva Initiative""",
33,@Spokoiny,,Twitter Handle,Twitter Journalists,USA,,Andrés Spokoiny,"""Andrés Spokoiny""",
34,@HananyaNaftali,,Twitter Handle,Twitter Journalists,Israel,,Hananya Naftali,"""Hananya Naftali""",
35,@adambasciano,,Twitter Handle,Twitter Journalists,USA,,Adam Basciano,"""Adam Basciano""",
36,@AvivEzra,,Twitter Handle,Twitter Journalists,USA,,Aviv Ezra,"""Aviv Ezra""",
