id,url,source,name,tags,publisher,referring record id,authors,plain text,date of publication,image reference,anchor text,language,number of referrals,
bfeafb47-bd03-55d8-99c9-b28e04b2876f,https://www.aljazeera.com/,https://www.aljazeera.com/,Al Jazeera,left-center Referring International MENA ,Al Jazeera,968920053491134465 1320357250242957313 185058454459793408 163294165885648896 1131352399103311875 1131291274982690816 1129913647587876864 1107825367690166272 1107821073125523456 1075188194084352001 1075186151059849216 1043584537257803776 952980118594605056 952978083522506752 952976713620901889 948232767145414656 947466962082369537 947161665036054528 946723760798826502 946722083324743680 946720188455620608 946435092192333824 946433863428997121 946370735039229952 945439688768278528 940215878670602240 940214303399038981 919754474834493440 899399290887516161 881111093380304897 847953986191859712 805893839764541441 573220909705768960 517817367045230592 502271662524362752 500300029995675648 498941867099054080 471055690857869313 448202890612854784 407975597227245568 380052238627909632 336962434017419265 263423543239405568 263422750692106240 263421998523371520 174611956500672512 170320997965246464 160125677725679616 155760824038850560 154910833472839681 501289549155155968 1316509111509549056 1310630673020055552 1303753306754494468 1262760611059863556 1259503752555507712 1254821046286520321 1235960384156315648 1198956134700240896 1130249272589410304 1108003739120660480 1096076599718567936 536817961013497856 476692732916674560 271011631058792449 232419279243444224 184653575127973888 1020732414178492417 1226914713352753152 1027993432155975681 953595106350764032 895554925031280640 895523874338725888 888631793703940096 881919098321608705 881918879718572033 861824155431428097 858055162786701313 856434589228826626 838068053397090307 832903371170443264 830521139231338496 830520768677154816 820625497897963521 818009090467262464 784415849495003137 772503522252390408 760914828466741248 690589825028722689 689430938338459648 689170205575147520 689077812687433728 685770775278825472 685174805910433796 685078865643966465 682564165517590528 682564042066640896 673580178027753474 ,null,text here,null,null,null,null,98,
1320790840445440001,https://twitter.com/a_zionist/status/1320790840445440001,https://twitter.com/a_zionist/status/1320790840445440001,((A. Zionist))),Referring ,null,981538534300553222 946435623656869889 946432054291509248 941360200526827520 941359140886196224 937746636536770560 808355676032532480 1316408048450039809 1316407972159840256 1316079873383976961 1312042644797759488 1301887361312264193 1224762462945325056 1147562216926994433 1147526425693622272 1096939890753921025 1096938618659188741 1096723094708850689 967809519572176896 917015436126048256 917013455168827394 916969627619659776 916968066042466304 1280909333245710337 1270684093072707585 1268205628499152897 1260466404198961156 1257276197874077698 1257264553638969344 1250868591861301248 1230536452536197136 1229048083494907909 1204441739722919937 1199419317114351616 1190679905807282176 1190168001179455490 1142469626313527298 1130534711405830144 1098968906805530626 1097905741300666368 1097227336456593408 1097220712123764736 1097203382325075968 1095734629154336771 1095011095566344198 1084152168796643330 1071487707203977216 1049610513603338240 1046819787018575872 1034134160577912834 1019597335003910144 1016377890680827904 1016377104622145537 1016376728606904320 987720322987282438 985539287268646912 976121376229687296 971426545674981376 971425895759142913 947799833506668544 934814486321618945 933753356799152128 925785888558321664 922170788018520064 921785118494285824 917407574735097856 912378562333876224 912377828448067584 909793614825447424 909732374442803200 908373367182577664 907651701565542400 906921275427311616 903597672208183296 893546096831614976 876474270892912641 876153833013080065 869578564177473537 869256671662571520 865165747819094016 864521359032016897 862322810575892480 861657554824331268 858978920896626688 858717290254258179 856902767314653184 852910888982020100 852900591651233793 852790303085871104 843917751613886464 837269904848011264 828286982912671745 817824683743649794 817785600719912960 805129251066408961 784105741825245185 738412306527342592 732965762198081539 ,(((A. Zionist))),🚨ANTISEMITE ALERT 🚨  Only a Jew hater with a 🤯 believes such lies!  Aswari publishes #FakeNews on her website - the Medieval Jews use blood to make matzah libel  Your pee brain 🧠 is filled with 💩 from the antisemitic sewer ie corrupt thieving Palestinian Authority say Arabs,2020-10-26,null,null,null,98,
1320789781006221314,https://twitter.com/a_zionist/status/1320789781006221314,https://twitter.com/a_zionist/status/1320789781006221314,((A. Zionist))),Referring ,null,981538534300553222 946435623656869889 946432054291509248 941360200526827520 941359140886196224 937746636536770560 808355676032532480 1316408048450039809 1316407972159840256 1316079873383976961 1312042644797759488 1301887361312264193 1224762462945325056 1147562216926994433 1147526425693622272 1096939890753921025 1096938618659188741 1096723094708850689 967809519572176896 917015436126048256 917013455168827394 916969627619659776 916968066042466304 1280909333245710337 1270684093072707585 1268205628499152897 1260466404198961156 1257276197874077698 1257264553638969344 1250868591861301248 1230536452536197136 1229048083494907909 1204441739722919937 1199419317114351616 1190679905807282176 1190168001179455490 1142469626313527298 1130534711405830144 1098968906805530626 1097905741300666368 1097227336456593408 1097220712123764736 1097203382325075968 1095734629154336771 1095011095566344198 1084152168796643330 1071487707203977216 1049610513603338240 1046819787018575872 1034134160577912834 1019597335003910144 1016377890680827904 1016377104622145537 1016376728606904320 987720322987282438 985539287268646912 976121376229687296 971426545674981376 971425895759142913 947799833506668544 934814486321618945 933753356799152128 925785888558321664 922170788018520064 921785118494285824 917407574735097856 912378562333876224 912377828448067584 909793614825447424 909732374442803200 908373367182577664 907651701565542400 906921275427311616 903597672208183296 893546096831614976 876474270892912641 876153833013080065 869578564177473537 869256671662571520 865165747819094016 864521359032016897 862322810575892480 861657554824331268 858978920896626688 858717290254258179 856902767314653184 852910888982020100 852900591651233793 852790303085871104 843917751613886464 837269904848011264 828286982912671745 817824683743649794 817785600719912960 805129251066408961 784105741825245185 738412306527342592 732965762198081539 ,(((A. Zionist))),🚨ANTISEMITE ALERT 🚨  🚨DR HANAN ASWARI: ANTISEMITE INCITER &amp; LIAR🚨  On her website Ashwari penned a classic blood libel: Jews use blood to make matzah at Pesach!  Ashwari hates truth &amp; Jews which is why she blocks people like me who call out her Jew hate.  P A L L Y W O O D!,2020-10-26,null,null,null,98,
1320788297149415424,https://twitter.com/a_zionist/status/1320788297149415424,https://twitter.com/a_zionist/status/1320788297149415424,((A. Zionist))),Referring ,null,981538534300553222 946435623656869889 946432054291509248 941360200526827520 941359140886196224 937746636536770560 808355676032532480 1316408048450039809 1316407972159840256 1316079873383976961 1312042644797759488 1301887361312264193 1224762462945325056 1147562216926994433 1147526425693622272 1096939890753921025 1096938618659188741 1096723094708850689 967809519572176896 917015436126048256 917013455168827394 916969627619659776 916968066042466304 1280909333245710337 1270684093072707585 1268205628499152897 1260466404198961156 1257276197874077698 1257264553638969344 1250868591861301248 1230536452536197136 1229048083494907909 1204441739722919937 1199419317114351616 1190679905807282176 1190168001179455490 1142469626313527298 1130534711405830144 1098968906805530626 1097905741300666368 1097227336456593408 1097220712123764736 1097203382325075968 1095734629154336771 1095011095566344198 1084152168796643330 1071487707203977216 1049610513603338240 1046819787018575872 1034134160577912834 1019597335003910144 1016377890680827904 1016377104622145537 1016376728606904320 987720322987282438 985539287268646912 976121376229687296 971426545674981376 971425895759142913 947799833506668544 934814486321618945 933753356799152128 925785888558321664 922170788018520064 921785118494285824 917407574735097856 912378562333876224 912377828448067584 909793614825447424 909732374442803200 908373367182577664 907651701565542400 906921275427311616 903597672208183296 893546096831614976 876474270892912641 876153833013080065 869578564177473537 869256671662571520 865165747819094016 864521359032016897 862322810575892480 861657554824331268 858978920896626688 858717290254258179 856902767314653184 852910888982020100 852900591651233793 852790303085871104 843917751613886464 837269904848011264 828286982912671745 817824683743649794 817785600719912960 805129251066408961 784105741825245185 738412306527342592 732965762198081539 ,(((A. Zionist))),Latest Libel: IDF Troops Bludgeoned Palestinian Youth Amer Snobar To Death (Updated)  https://t.co/Xji4taV7BE,2020-10-26,null,null,null,98,
1320509374998171648,https://twitter.com/RedaMansour/status/1320509374998171648,https://twitter.com/RedaMansour/status/1320509374998171648,Reda Mansour,Referring ,null,1298707385989705730 1297165877138382848 1284463686019620865 1245771500965302276 1229190857204649984 1203023801178562566 1164166255160569856 1164165516363227136 1164163573481971712 1155219731940614145 1145867058107879426 1130959888664989696 1120771704165412866 1107789908301750272 1095443466971213827 1094788193709363201 1094787900271661056 1094787412159537152 1091462294536638475 1084914559087984641 1060345881835307010 1060021634902433792 1045118140202520576 1044062504148701184 1044012236941996038 1051457141788352513 1051246204024025090 1306536646104551424 1181552459967275008 1159118627486019586 1159118276171055104 1141364193242824704 ,Dr. Reda Mansour - ד"ר רדא מנצור,Meto que lindo!,2020-10-25,null,null,null,32,
1320397236933636103,https://twitter.com/RedaMansour/status/1320397236933636103,https://twitter.com/RedaMansour/status/1320397236933636103,Reda Mansour,Referring ,null,1298707385989705730 1297165877138382848 1284463686019620865 1245771500965302276 1229190857204649984 1203023801178562566 1164166255160569856 1164165516363227136 1164163573481971712 1155219731940614145 1145867058107879426 1130959888664989696 1120771704165412866 1107789908301750272 1095443466971213827 1094788193709363201 1094787900271661056 1094787412159537152 1091462294536638475 1084914559087984641 1060345881835307010 1060021634902433792 1045118140202520576 1044062504148701184 1044012236941996038 1051457141788352513 1051246204024025090 1306536646104551424 1181552459967275008 1159118627486019586 1159118276171055104 1141364193242824704 ,Dr. Reda Mansour - ד"ר רדא מנצור,Es Tel Aviv no es Dubai ❤️,2020-10-25,null,null,null,32,
1320396364740763648,https://twitter.com/RedaMansour/status/1320396364740763648,https://twitter.com/RedaMansour/status/1320396364740763648,Reda Mansour,Referring ,null,1298707385989705730 1297165877138382848 1284463686019620865 1245771500965302276 1229190857204649984 1203023801178562566 1164166255160569856 1164165516363227136 1164163573481971712 1155219731940614145 1145867058107879426 1130959888664989696 1120771704165412866 1107789908301750272 1095443466971213827 1094788193709363201 1094787900271661056 1094787412159537152 1091462294536638475 1084914559087984641 1060345881835307010 1060021634902433792 1045118140202520576 1044062504148701184 1044012236941996038 1051457141788352513 1051246204024025090 1306536646104551424 1181552459967275008 1159118627486019586 1159118276171055104 1141364193242824704 ,Dr. Reda Mansour - ד"ר רדא מנצור,Puede que todavía no tengamos la paz con Irán pero en Nahal Soreq nos encontramos con un burro persa maduro impresionante y saludable. Los burros que andan libres en Israel. @NatureIsrael,2020-10-25,null,null,null,32,
1320395538534191104,https://twitter.com/RedaMansour/status/1320395538534191104,https://twitter.com/RedaMansour/status/1320395538534191104,Reda Mansour,Referring ,null,1298707385989705730 1297165877138382848 1284463686019620865 1245771500965302276 1229190857204649984 1203023801178562566 1164166255160569856 1164165516363227136 1164163573481971712 1155219731940614145 1145867058107879426 1130959888664989696 1120771704165412866 1107789908301750272 1095443466971213827 1094788193709363201 1094787900271661056 1094787412159537152 1091462294536638475 1084914559087984641 1060345881835307010 1060021634902433792 1045118140202520576 1044062504148701184 1044012236941996038 1051457141788352513 1051246204024025090 1306536646104551424 1181552459967275008 1159118627486019586 1159118276171055104 1141364193242824704 ,Dr. Reda Mansour - ד"ר רדא מנצור,Mazal Tov @MCTC_Haifa ! Keep up the good work.,2020-10-25,null,null,null,32,
1320394936269873152,https://twitter.com/RedaMansour/status/1320394936269873152,https://twitter.com/RedaMansour/status/1320394936269873152,Reda Mansour,Referring ,null,1298707385989705730 1297165877138382848 1284463686019620865 1245771500965302276 1229190857204649984 1203023801178562566 1164166255160569856 1164165516363227136 1164163573481971712 1155219731940614145 1145867058107879426 1130959888664989696 1120771704165412866 1107789908301750272 1095443466971213827 1094788193709363201 1094787900271661056 1094787412159537152 1091462294536638475 1084914559087984641 1060345881835307010 1060021634902433792 1045118140202520576 1044062504148701184 1044012236941996038 1051457141788352513 1051246204024025090 1306536646104551424 1181552459967275008 1159118627486019586 1159118276171055104 1141364193242824704 ,Dr. Reda Mansour - ד"ר רדא מנצור,Se trata de tu equilibrio interno 😲😍 #FelizDomingo,2020-10-25,null,null,null,32,
1320394238337687552,https://twitter.com/RedaMansour/status/1320394238337687552,https://twitter.com/RedaMansour/status/1320394238337687552,Reda Mansour,Referring ,null,1298707385989705730 1297165877138382848 1284463686019620865 1245771500965302276 1229190857204649984 1203023801178562566 1164166255160569856 1164165516363227136 1164163573481971712 1155219731940614145 1145867058107879426 1130959888664989696 1120771704165412866 1107789908301750272 1095443466971213827 1094788193709363201 1094787900271661056 1094787412159537152 1091462294536638475 1084914559087984641 1060345881835307010 1060021634902433792 1045118140202520576 1044062504148701184 1044012236941996038 1051457141788352513 1051246204024025090 1306536646104551424 1181552459967275008 1159118627486019586 1159118276171055104 1141364193242824704 ,Dr. Reda Mansour - ד"ר רדא מנצור,Is Syria going to next in peace? Why not !,2020-10-25,null,null,null,32,
