id,hit count,url or alias text,source,name,tags,publisher,referring record id,authors,plain text,type,date of publication,top referrals,
1.41353E+18,null,https://twitter.com/ABarnardNYT/status/1413526619063562243,abarnardnyt,null,,null,,null,"Big shift in debate on Astoria power plant upgrade. Owner NRG wants modernized ""natural-gas"" plant. Community electeds--who campaigned on the issue--reject any fossil-fuel option want renewable energy only in area w/high asthma/pollution/climate risks.   Now @SenSchumer agrees.",twitter,2021-07-09,null,null
1.39464E+18,null,https://twitter.com/MattGoldstein26/status/1394639203389018116,mattgoldstein26,null,,null,,null,Family of Avera Mengistu Israeli trapped in Gaza release TikTok video - The Jerusalem Post  https://t.co/iazsTfqcdg,twitter,2021-05-18,null,null
1.3658E+18,null,https://twitter.com/jswatz/status/1365797290447896576,jswatz,null,,null,,null,The vaccine line NRG Park with my mother-in-law  https://t.co/dqzMjpQbDc,twitter,2021-02-27,null,null
1.3642E+18,null,https://twitter.com/MattGoldstein26/status/1364197253116801026,mattgoldstein26,null,,null,,null,Israel donates COVID-19 vaccines to Palestinian Authority Honduras - The Jerusalem Post  https://t.co/R8F1XL6KF4,twitter,2021-02-23,null,null
1.33609E+18,null,https://twitter.com/liamstack/status/1336091706199040001,liamstack,null,,null,,null,Israel’s ex-space security chief says the US &amp; Israel know that aliens — and a Galactic Federation — exist but the public hasn’t been told bc humanity isn’t ready  “Jerusalem Post was unable to reach out to this supposed Galactic Federation for comment.”  https://t.co/wudwJjD9aS,twitter,2020-12-07,null,null
1.33382E+18,null,https://twitter.com/jennydeluxe/status/1333823017198120962,jennydeluxe,null,,null,,null,@museummammy @jowriter1984 Thank you for your time and NRG and sweetness !!!!,twitter,2020-12-01,null,null
1.3277E+18,null,https://twitter.com/jennydeluxe/status/1327704779011788809,jennydeluxe,null,,null,,null,@pfpicardi @museummammy @foxxybemine omg whitney's butch nrg!!!!!!,twitter,2020-11-14,null,null
1.28317E+18,null,https://twitter.com/MattGoldstein26/status/1283166982335062027,mattgoldstein26,null,,null,,null,Houthis round up Yemen's Jews as part of 'ethnic cleansing' efforts - The Jerusalem Post  https://t.co/OaQ8h1wKkT,twitter,2020-07-14,null,null
1.28051E+18,null,https://twitter.com/carolrosenberg/status/1280511157045006336,carolrosenberg,null,,null,,null,The network’s spree of hot takes placed articles critical of Qatar and supportive of tougher sanctions on Iran in North American and Middle Eastern news outlets like Human Events The Jerusalem Post and Al Arabiya.,twitter,2020-07-07,null,null
1.26453E+18,null,https://twitter.com/meslackman/status/1264532003740880896,meslackman,null,,null,,null,Prime minister and criminal defendant: “Every decision will be suspect; every move will be suspicious” wrote Yaakov Katz the editor of The Jerusalem Post.  https://t.co/OsYaGQOGz7,twitter,2020-05-24,null,null
