id,hit count,url or alias text,source,name,tags,publisher,referring record id,authors,plain text,type,date of publication,top referrals,https://www.nytimes.com/,
916336050489970688,null,https://twitter.com/rcallimachi/status/916336050489970688,rcallimachi,null,,null,,null,@Ventuckyspaz @welltraveledfox @RealMattCouch I don't work for the Times of Israel. That is the search page where they archive Associated Press articles (I worked for the AP for 10 yrs).,twitter,2017-10-06,null,null,
238377006109184001,null,https://twitter.com/NatalieShutler/status/238377006109184001,natalieshutler,null,,null,,null,The Times of Israel describes it as a Galilean version of Colonial Williamsburg:  http://t.co/QYXJK0vB,twitter,2012-08-22,null,null,
851403222526853123,null,https://twitter.com/anniekarni/status/851403222526853123,anniekarni,null,,null,,null,Tradition! Trump to keep Obama Passover custom alive with Seder Monday | The Times of Israel  https://t.co/ljT6UJlBBG,twitter,2017-04-10,null,null,
540911291515539456,null,https://twitter.com/anniekarni/status/540911291515539456,anniekarni,null,,null,,null,The Times of Israel with the scoop that Bono is not actually a Hasid impersonator.  http://t.co/vCq5Gm0vIG,twitter,2014-12-05,null,null,
495591826569453569,null,https://twitter.com/liamstack/status/495591826569453569,liamstack,null,,null,,null,Archived text of "When Genocide is Permissible" by Yochanan Gordon from Times of Israel &amp; NY's 5 Towns Jewish Times  https://t.co/rWu8CU1jS2,twitter,2014-08-02,null,null,
672503261820092417,null,https://twitter.com/tripgabriel/status/672503261820092417,tripgabriel,null,,null,,null,thanks. times of israel owner is a different wealthy American Jewish investor  https://t.co/Xc4VIP5wfc  https://t.co/zlMq22CqkF,twitter,2015-12-03,null,null,
495257704483794945,null,https://twitter.com/Abihabib/status/495257704483794945,abihabib,null,,null,,null,The Times of Israel published a piece saying genocide is permissible in Gaza. Can we call a global time out?,twitter,2014-08-01,null,null,
298863125560705026,null,https://twitter.com/GlennThrush/status/298863125560705026,glennthrush,null,,null,,null,Good Times of Israel report on (purported) Obama Israel/ME schlep...  http://t.co/ld611Qdc,twitter,2013-02-05,null,null,
269128630649626624,null,https://twitter.com/AKannapell/status/269128630649626624,akannapell,null,,null,,null,Warning sirens in Tel Aviv but it has NOT been hit. Easily misunderstood Times of Israel report  http://t.co/J6NXhDc2,twitter,2012-11-15,null,null,
672519965224869888,null,https://twitter.com/reidepstein/status/672519965224869888,reidepstein,null,,null,,null,Times of Israel headline: Trump courts Republican Jews with offensive stereotypes   https://t.co/xKyJbWryJQ,twitter,2015-12-03,null,null,
1000928794994249729,null,https://twitter.com/adamgoldmanNYT/status/1000928794994249729,adamgoldmannyt,null,,null,,null,Mossad reportedly tried to recruit French agents during joint Syria operation | The Times of Israel  https://t.co/P091fnZUqi,twitter,2018-05-28,null,null,
1060148768681660416,null,https://twitter.com/maggieNYT/status/1060148768681660416,maggienyt,null,,null,,null,Toddler dies of measles in Jerusalem in first such incident in 15 years | The Times of Israel  https://t.co/bQ7CGQHt9L,twitter,2018-11-07,null,null,
1382017622531842053,null,https://twitter.com/carolynryan/status/1382017622531842053,carolynryan,null,,null,,null,NYT: Cuomo once said about Sukkot: 'These people and their f**king tree houses' | The Times of Israel  https://t.co/x6VkHl3XQu,twitter,2021-04-13,null,null,
